Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS
2017,Dave Andreychuk,Player,1983,2006,1639,640,698,1338,38,1125,,,,,,,98.8,25.8,0,124.6
2017,Mark Recchi,Player,1989,2011,1652,577,956,1533,0,1033,,,,,,,120,27.5,0,147.5
2017,Teemu Selanne,Player,1993,2014,1451,684,773,1457,95,660,,,,,,,142.9,29.4,0,172.3
2017,Paul Kariya,Player,1995,2010,989,402,587,989,31,399,,,,,,,86.2,23.1,0,109.3
2016,Rogie Vachon,Player,1967,1982,795,0,10,10,0,47,795,355,291,127,,2.99,0,0,144.5,144.5
2016,Pat Quinn,Builder,1969,1977,606,18,113,131,-3,950,,,,,,,0.4,33.9,0,34.4
2016,Sergei Makarov,Player,1990,1997,424,134,250,384,67,317,,,,,,,24.5,6.6,0,31.1
2016,Eric Lindros,Player,1993,2007,760,372,493,865,215,1398,,,,,,,81.7,20,0,101.6
2015,Phil Housley,Player,1983,2003,1495,338,894,1232,-53,822,,,,,,,96.8,73.9,0,170.7
2015,Sergei Fedorov,Player,1991,2009,1248,483,696,1179,261,839,,,,,,,96,29.6,0,125.6
2015,Nicklas Lidstrom,Player,1992,2012,1564,264,878,1142,450,514,,,,,,,98.1,113.6,0,211.8
2015,Chris Pronger,Player,1994,2012,1167,157,541,698,183,1590,,,,,,,55.7,83.7,0,139.4
2014,Rob Blake,Player,1990,2010,1270,240,537,777,-4,1679,,,,,,,67.3,60.3,0,127.5
2014,Mike Modano,Player,1990,2011,1499,561,813,1374,114,930,,,,,,,110.5,34.4,0,144.9
2014,Dominik Hasek,Player,1991,2008,735,0,19,19,0,170,735,389,223,95,0.922,2.2,0,0,156.8,156.8
2014,Peter Forsberg,Player,1995,2011,708,249,636,885,238,690,,,,,,,77.4,20.6,0,98
2013,Chris Chelios,Player,1984,2010,1651,185,763,948,350,2891,,,,,,,59.8,108.6,0,168.4
2013,Brendan Shanahan,Player,1988,2009,1524,656,698,1354,151,2489,,,,,,,118.4,29.5,0,148
2013,Scott Niedermayer,Player,1992,2010,1263,172,568,740,167,784,,,,,,,58.9,82.1,0,141
2012,Adam Oates,Player,1986,2004,1337,341,1079,1420,35,415,,,,,,,94.4,22.7,0,117.1
2012,Joe Sakic,Player,1989,2009,1378,625,1016,1641,30,614,,,,,,,141.7,26.1,0,167.8
2012,Mats Sundin,Player,1991,2009,1346,564,785,1349,73,1093,,,,,,,120.2,24.2,0,144.4
2012,Pavel Bure,Player,1992,2003,702,437,342,779,42,484,,,,,,,80.1,13,0,93.1
2011,Mark Howe,Player,1980,1995,929,197,545,742,400,455,,,,,,,47.9,64,0,111.9
2011,Doug Gilmour,Player,1984,2003,1474,450,964,1414,132,1301,,,,,,,93.2,25.5,0,118.7
2011,Joe Nieuwendyk,Player,1987,2007,1257,564,562,1126,155,677,,,,,,,98.2,21.8,0,120.1
2011,Ed Belfour,Player,1989,2007,963,0,34,34,0,380,963,484,320,125,0.906,2.5,0,0,157.3,157.3
2010,Dino Ciccarelli,Player,1981,1999,1232,608,592,1200,-2,1425,,,,,,,90,15.8,0,105.9
2009,Steve Yzerman,Player,1984,2006,1514,692,1063,1755,185,924,,,,,,,139.4,27.2,0,166.7
2009,Brett Hull,Player,1987,2006,1269,741,650,1391,23,458,,,,,,,134.3,20.3,0,154.6
2009,Luc Robitaille,Player,1987,2006,1431,668,726,1394,72,1177,,,,,,,118.5,20.2,0,138.7
2009,Brian Leetch,Player,1988,2006,1205,247,781,1028,25,571,,,,,,,86.2,60.4,0,146.6
2008,Glenn Anderson,Player,1981,1996,1129,498,601,1099,201,1120,,,,,,,72.6,15.5,0,88.1
2008,Igor Larionov,Player,1990,2004,921,169,475,644,104,474,,,,,,,38.2,16.7,0,54.9
2007,Mark Messier,Player,1980,2004,1756,694,1193,1887,210,1910,,,,,,,135.6,24.8,0,160.5
2007,Ron Francis,Player,1982,2004,1731,549,1249,1798,-10,979,,,,,,,121,28.4,0,149.5
2007,Al MacInnis,Player,1982,2004,1416,340,934,1274,373,1511,,,,,,,104.3,90.9,0,195.1
2007,Scott Stevens,Player,1983,2004,1635,196,712,908,393,2785,,,,,,,54.1,115.6,0,169.6
2006,Dick Duff,Player,1955,1972,1030,283,289,572,-47,743,,,,,,,35.7,14.2,0,49.9
2006,Patrick Roy,Player,1985,2003,1029,0,45,45,0,262,1029,551,315,131,0.91,2.54,0,0,198.3,198.3
2005,Murray Costello,Builder,1954,1957,162,13,19,32,,54,,,,,,,-2.3,1.9,0,-0.4
2005,Cam Neely,Player,1984,1996,726,395,299,694,82,1241,,,,,,,56.4,12.7,0,69.2
2004,Raymond Bourque,Player,1980,2001,1612,410,1169,1579,528,1141,,,,,,,123.8,118.9,0,242.7
2004,Paul Coffey,Player,1981,2001,1409,396,1135,1531,294,1802,,,,,,,117,68.7,0,185.7
2004,Larry Murphy,Player,1981,2001,1615,287,929,1216,200,1084,,,,,,,85.5,91.5,0,177
2003,Brian Kilrea,Builder,1958,1968,26,3,5,8,-4,12,,,,,,,-0.1,0.2,0,0.1
2003,Grant Fuhr,Player,1982,2000,868,0,46,46,0,120,868,403,295,114,0.887,3.38,0,0,128.5,128.5
2003,Pat LaFontaine,Player,1984,1998,865,468,545,1013,-4,552,,,,,,,82.1,10.7,0,92.8
2002,Clark Gillies,Player,1975,1988,958,319,378,697,241,1023,,,,,,,37.8,17.1,0,54.9
2002,Bernie Federko,Player,1977,1990,1000,369,761,1130,-132,487,,,,,,,69.1,10.8,0,79.9
2002,Rod Langway,Player,1979,1993,994,51,278,329,277,849,,,,,,,7.2,71.1,0,78.3
2001,Craig Patrick,Builder,1972,1979,401,72,91,163,-131,61,,,,,,,2.5,3.1,0,5.6
2001,Mike Gartner,Player,1980,1998,1432,708,627,1335,67,1159,,,,,,,100.1,21.7,0,121.8
2001,Jari Kurri,Player,1981,1998,1251,601,797,1398,298,545,,,,,,,98.7,18.6,0,117.3
2001,Dale Hawerchuk,Player,1982,1997,1188,518,891,1409,-92,730,,,,,,,98.6,13.5,0,112.1
2001,Viacheslav Fetisov,Player,1990,1998,546,36,192,228,114,656,,,,,,,10.6,34.6,0,45.3
2000,Denis Savard,Player,1981,1997,1196,473,865,1338,97,1336,,,,,,,87.4,17.6,0,105.1
2000,Joe Mullen,Player,1982,1997,1062,502,561,1063,163,241,,,,,,,75.1,16,0,91.1
1999,Wayne Gretzky,Player,1980,1999,1487,894,1963,2857,518,577,,,,,,,223.9,27.1,0,251
1998,Roy Conacher,Player,1939,1952,490,226,200,426,,90,,,,,,,44.4,6.4,0,50.8
1998,Michel Goulet,Player,1980,1994,1089,548,604,1152,97,825,,,,,,,79.3,17.4,0,96.8
1998,Peter Stastny,Player,1981,1995,977,450,789,1239,-12,824,,,,,,,82.1,12,0,94.1
1997,Glen Sather,Builder,1967,1976,658,80,113,193,11,724,,,,,,,-5.1,8.3,0,3.2
1997,Bryan Trottier,Player,1976,1994,1279,524,901,1425,452,912,,,,,,,94.1,26.1,0,120.2
1997,Mario Lemieux,Player,1985,2006,915,690,1033,1723,115,834,,,,,,,152.4,15.5,0,167.9
1996,Bobby Bauer,Player,1937,1952,327,123,137,260,,36,,,,,,,25,7.1,0,32
1996,Al Arbour,Builder,1954,1971,626,12,58,70,27,617,,,,,,,-4.1,43.5,0,39.4
1996,Borje Salming,Player,1974,1990,1148,150,637,787,175,1344,,,,,,,48.9,63.9,0,112.8
1995,Bun Cook,Player,1927,1937,473,158,144,302,,444,,,,,,,42.3,9.4,0,51.7
